CD_REGIAO,NM_REGIAO,CD_UF,NM_UF,CD_MUN,CD_DIST,NM_MUN,NM_DIST,Total_setores,v0001,v0002,v0003,v0004,v0005,v0006,v0007
2,Nordeste,24,Rio Grande do Norte,2400109,240010905,Acari,Acari,28,10597,4750,4747,3,2.768746723,0.996329313,3814
2,Nordeste,24,Rio Grande do Norte,2400208,240020805,Açu,Açu,104,56496,24138,24103,35,2.932900545,1.890418073,19255
2,Nordeste,24,Rio Grande do Norte,2400307,240030705,Afonso Bezerra,Afonso Bezerra,25,10839,4339,4334,5,3.211384524,0.17788319,3373
2,Nordeste,24,Rio Grande do Norte,2400406,240040605,Água Nova,Água Nova,4,2946,1199,1199,0,2.972754793,0.201816347,991
2,Nordeste,24,Rio Grande do Norte,2400505,240050505,Alexandria,Alexandria,22,13640,6043,6040,3,2.811686971,0.392318811,4843
2,Nordeste,24,Rio Grande do Norte,2400604,240060405,Almino Afonso,Almino Afonso,8,4687,2348,2346,2,2.82009627,,1662
2,Nordeste,24,Rio Grande do Norte,2400703,240070305,Alto do Rodrigues,Alto do Rodrigues,30,12484,5384,5368,16,2.957582938,2.345971564,4220
2,Nordeste,24,Rio Grande do Norte,2400802,240080205,Angicos,Angicos,16,11632,5195,5174,21,2.943066802,0.860323887,3952
2,Nordeste,24,Rio Grande do Norte,2400901,240090105,Antônio Martins,Antônio Martins,19,6577,3181,3181,0,2.772765599,,2372
2,Nordeste,24,Rio Grande do Norte,2401008,240100805,Apodi,Apodi,76,36093,16745,16732,13,2.793723363,2.518403719,12905
2,Nordeste,24,Rio Grande do Norte,2401107,240110705,Areia Branca,Areia Branca,42,24093,11691,11680,11,2.942441647,2.835146034,8183
2,Nordeste,24,Rio Grande do Norte,2401206,240120605,Arês,Arês,27,13251,5112,5111,1,3.100749766,1.897844424,4268
2,Nordeste,24,Rio Grande do Norte,2401305,240130505,Campo Grande,Campo Grande,17,9730,4168,4167,1,3.009588617,0.433034333,3233
2,Nordeste,24,Rio Grande do Norte,2401404,240140405,Baía Formosa,Baía Formosa,12,8825,3812,3807,5,3.169899425,,2784
2,Nordeste,24,Rio Grande do Norte,2401453,240145305,Baraúna,Baraúna,52,26913,11116,11112,4,3.02737103,2.083802658,8878
2,Nordeste,24,Rio Grande do Norte,2401503,240150305,Barcelona,Barcelona,11,3986,1858,1858,0,2.869690425,2.231821454,1389
2,Nordeste,24,Rio Grande do Norte,2401602,240160205,Bento Fernandes,Bento Fernandes,11,4486,1799,1798,1,3.07909216,,1454
2,Nordeste,24,Rio Grande do Norte,2401602,240160210,Bento Fernandes,Belo Horizonte,2,321,172,172,0,2.866071429,,112
2,Nordeste,24,Rio Grande do Norte,2401651,240165105,Bodó,Bodó,6,2306,1163,1163,0,3.014379085,0.130718954,765
2,Nordeste,24,Rio Grande do Norte,2401701,240170105,Bom Jesus,Bom Jesus,14,9952,4469,4468,1,2.870949074,3.616898148,3456
2,Nordeste,24,Rio Grande do Norte,2401800,240180005,Brejinho,Brejinho,21,12202,5232,5211,21,2.89992869,0.404088424,4207
2,Nordeste,24,Rio Grande do Norte,2401859,240185905,Caiçara do Norte,Caiçara do Norte,14,6293,2594,2591,3,3.181496461,0.050556117,1978
2,Nordeste,24,Rio Grande do Norte,2401909,240190905,Caiçara do Rio do Vento,Caiçara do Rio do Vento,6,3268,1407,1406,1,3.112380952,0.761904762,1050
2,Nordeste,24,Rio Grande do Norte,2402006,240200605,Caicó,Caicó,100,61146,27198,27128,70,2.746422101,2.72192029,22080
2,Nordeste,24,Rio Grande do Norte,2402105,240210505,Campo Redondo,Campo Redondo,20,10215,4608,4606,2,2.943483276,0.490196078,3468
2,Nordeste,24,Rio Grande do Norte,2402204,240220405,Canguaretama,Canguaretama,50,29668,12592,12564,28,3.230115494,0.09806058,9178
2,Nordeste,24,Rio Grande do Norte,2402303,240230305,Caraúbas,Caraúbas,34,16865,8202,8188,14,2.771315268,2.362855254,6052
