UF,Nome_UF,Região Geográfica Intermediária,Nome Região Geográfica Intermediária,Região Geográfica Imediata,Nome Região Geográfica Imediata,Município,Código Município Completo,Nome_Município,Distrito,Código de Distrito Completo,Nome_Distrito
24,Rio Grande do Norte,2402,Caicó,240008,Currais Novos,00109,2400109,Acari,05,240010905,Acari
24,Rio Grande do Norte,2403,Mossoró,240011,Açu,00208,2400208,Açu,05,240020805,Açu
24,Rio Grande do Norte,2403,Mossoró,240011,Açu,00307,2400307,Afonso Bezerra,05,240030705,Afonso Bezerra
24,Rio Grande do Norte,2403,Mossoró,240010,Pau dos Ferros,00406,2400406,Água Nova,05,240040605,Água Nova
24,Rio Grande do Norte,2403,Mossoró,240010,Pau dos Ferros,00505,2400505,Alexandria,05,240050505,Alexandria
24,Rio Grande do Norte,2403,Mossoró,240010,Pau dos Ferros,00604,2400604,Almino Afonso,05,240060405,Almino Afonso
24,Rio Grande do Norte,2403,Mossoró,240011,Açu,00703,2400703,Alto do Rodrigues,05,240070305,Alto do Rodrigues
24,Rio Grande do Norte,2403,Mossoró,240011,Açu,00802,2400802,Angicos,05,240080205,Angicos
24,Rio Grande do Norte,2403,Mossoró,240010,Pau dos Ferros,00901,2400901,Antônio Martins,05,240090105,Antônio Martins
24,Rio Grande do Norte,2403,Mossoró,240009,Mossoró,01008,2401008,Apodi,05,240100805,Apodi
24,Rio Grande do Norte,2403,Mossoró,240009,Mossoró,01107,2401107,Areia Branca,05,240110705,Areia Branca
24,Rio Grande do Norte,2401,Natal,240003,Canguaretama,01206,2401206,Arês,05,240120605,Arês
24,Rio Grande do Norte,2401,Natal,240003,Canguaretama,01404,2401404,Baía Formosa,05,240140405,Baía Formosa
24,Rio Grande do Norte,2403,Mossoró,240009,Mossoró,01453,2401453,Baraúna,05,240145305,Baraúna
24,Rio Grande do Norte,2401,Natal,240006,São Paulo do Potengi,01503,2401503,Barcelona,05,240150305,Barcelona
24,Rio Grande do Norte,2401,Natal,240001,Natal,01602,2401602,Bento Fernandes,05,240160205,Bento Fernandes
24,Rio Grande do Norte,2401,Natal,240001,Natal,01602,2401602,Bento Fernandes,10,240160210,Belo Horizonte
24,Rio Grande do Norte,2402,Caicó,240008,Currais Novos,01651,2401651,Bodó,05,240165105,Bodó
24,Rio Grande do Norte,2401,Natal,240001,Natal,01701,2401701,Bom Jesus,05,240170105,Bom Jesus
24,Rio Grande do Norte,2401,Natal,240001,Natal,01800,2401800,Brejinho,05,240180005,Brejinho
24,Rio Grande do Norte,2401,Natal,240005,João Câmara,01859,2401859,Caiçara do Norte,05,240185905,Caiçara do Norte
24,Rio Grande do Norte,2401,Natal,240006,São Paulo do Potengi,01909,2401909,Caiçara do Rio do Vento,05,240190905,Caiçara do Rio do Vento
24,Rio Grande do Norte,2402,Caicó,240007,Caicó,02006,2402006,Caicó,05,240200605,Caicó
24,Rio Grande do Norte,2403,Mossoró,240009,Mossoró,01305,2401305,Campo Grande,05,240130505,Campo Grande
24,Rio Grande do Norte,2401,Natal,240004,Santa Cruz,02105,2402105,Campo Redondo,05,240210505,Campo Redondo
24,Rio Grande do Norte,2401,Natal,240003,Canguaretama,02204,2402204,Canguaretama,05,240220405,Canguaretama
24,Rio Grande do Norte,2403,Mossoró,240009,Mossoró,02303,2402303,Caraúbas,05,240230305,Caraúbas
24,Rio Grande do Norte,2403,Mossoró,240009,Mossoró,02303,2402303,Caraúbas,10,240230310,São Geraldo
24,Rio Grande do Norte,2402,Caicó,240008,Currais Novos,02402,2402402,Carnaúba dos Dantas,05,240240205,Carnaúba dos Dantas
24,Rio Grande do Norte,2403,Mossoró,240011,Açu,02501,2402501,Carnaubais,05,240250105,Carnaubais
24,Rio Grande do Norte,2401,Natal,240001,Natal,02600,2402600,Ceará-Mirim,05,240260005,Ceará-Mirim
24,Rio Grande do Norte,2402,Caicó,240008,Currais Novos,02709,2402709,Cerro Corá,05,240270905,Cerro Corá
24,Rio Grande do Norte,2401,Natal,240004,Santa Cruz,02808,2402808,Coronel Ezequiel,05,240280805,Coronel Ezequiel
24,Rio Grande do Norte,2403,Mossoró,240010,Pau dos Ferros,02907,2402907,Coronel João Pessoa,05,240290705,Coronel João Pessoa
24,Rio Grande do Norte,2402,Caicó,240007,Caicó,03004,2403004,Cruzeta,05,240300405,Cruzeta
24,Rio Grande do Norte,2402,Caicó,240008,Currais Novos,03103,2403103,Currais Novos,05,240310305,Currais Novos
24,Rio Grande do Norte,2403,Mossoró,240010,Pau dos Ferros,03202,2403202,Doutor Severiano,05,240320205,Doutor Severiano
24,Rio Grande do Norte,2403,Mossoró,240010,Pau dos Ferros,03301,2403301,Encanto,05,240330105,Encanto
24,Rio Grande do Norte,2402,Caicó,240007,Caicó,03400,2403400,Equador,05,240340005,Equador
24,Rio Grande do Norte,2401,Natal,240003,Canguaretama,03509,2403509,Espírito Santo,05,240350905,Espírito Santo
24,Rio Grande do Norte,2401,Natal,240001,Natal,03608,2403608,Extremoz,05,240360805,Extremoz
24,Rio Grande do Norte,2403,Mossoró,240009,Mossoró,03707,2403707,Felipe Guerra,05,240370705,Felipe Guerra
24,Rio Grande do Norte,2403,Mossoró,240011,Açu,03756,2403756,Fernando Pedroza,05,240375605,Fernando Pedroza
24,Rio Grande do Norte,2402,Caicó,240008,Currais Novos,03806,2403806,Florânia,05,240380605,Florânia
24,Rio Grande do Norte,2403,Mossoró,240010,Pau dos Ferros,03905,2403905,Francisco Dantas,05,240390505,Francisco Dantas
24,Rio Grande do Norte,2403,Mossoró,240010,Pau dos Ferros,04002,2404002,Frutuoso Gomes,05,240400205,Frutuoso Gomes
24,Rio Grande do Norte,2401,Natal,240005,João Câmara,04101,2404101,Galinhos,05,240410105,Galinhos
24,Rio Grande do Norte,2401,Natal,240003,Canguaretama,04200,2404200,Goianinha,05,240420005,Goianinha
24,Rio Grande do Norte,2403,Mossoró,240009,Mossoró,04309,2404309,Governador Dix-Sept Rosado,05,240430905,Governador Dix-Sept Rosado
24,Rio Grande do Norte,2403,Mossoró,240009,Mossoró,04408,2404408,Grossos,05,240440805,Grossos
24,Rio Grande do Norte,2403,Mossoró,240011,Açu,04507,2404507,Guamaré,05,240450705,Guamaré
24,Rio Grande do Norte,2401,Natal,240001,Natal,04606,2404606,Ielmo Marinho,05,240460605,Ielmo Marinho
24,Rio Grande do Norte,2403,Mossoró,240011,Açu,04705,2404705,Ipanguaçu,05,240470505,Ipanguaçu
24,Rio Grande do Norte,2402,Caicó,240007,Caicó,04804,2404804,Ipueira,05,240480405,Ipueira
24,Rio Grande do Norte,2403,Mossoró,240011,Açu,04853,2404853,Itajá,05,240485305,Itajá
24,Rio Grande do Norte,2403,Mossoró,240009,Mossoró,04903,2404903,Itaú,05,240490305,Itaú
24,Rio Grande do Norte,2401,Natal,240004,Santa Cruz,05009,2405009,Jaçanã,05,240500905,Jaçanã
24,Rio Grande do Norte,2401,Natal,240005,João Câmara,05108,2405108,Jandaíra,05,240510805,Jandaíra
24,Rio Grande do Norte,2403,Mossoró,240009,Mossoró,05207,2405207,Janduís,05,240520705,Janduís
24,Rio Grande do Norte,2401,Natal,240002,Santo Antônio - Passa e Fica - Nova Cruz,05306,2405306,Januário Cicco,05,240530605,Januário Cicco
24,Rio Grande do Norte,2401,Natal,240002,Santo Antônio - Passa e Fica - Nova Cruz,05306,2405306,Januário Cicco,10,240530610,Córrego de São Mateus
24,Rio Grande do Norte,2401,Natal,240004,Santa Cruz,05405,2405405,Japi,05,240540505,Japi
24,Rio Grande do Norte,2401,Natal,240005,João Câmara,05504,2405504,Jardim de Angicos,05,240550405,Jardim de Angicos
24,Rio Grande do Norte,2402,Caicó,240007,Caicó,05603,2405603,Jardim de Piranhas,05,240560305,Jardim de Piranhas
24,Rio Grande do Norte,2402,Caicó,240007,Caicó,05702,2405702,Jardim do Seridó,05,240570205,Jardim do Seridó
24,Rio Grande do Norte,2401,Natal,240005,João Câmara,05801,2405801,João Câmara,05,240580105,João Câmara
24,Rio Grande do Norte,2403,Mossoró,240010,Pau dos Ferros,05900,2405900,João Dias,05,240590005,João Dias
24,Rio Grande do Norte,2403,Mossoró,240010,Pau dos Ferros,05900,2405900,João Dias,10,240590010,Rosário
24,Rio Grande do Norte,2403,Mossoró,240010,Pau dos Ferros,06007,2406007,José da Penha,05,240600705,José da Penha
24,Rio Grande do Norte,2403,Mossoró,240010,Pau dos Ferros,06007,2406007,José da Penha,10,240600710,Major Felipe
24,Rio Grande do Norte,2402,Caicó,240007,Caicó,06106,2406106,Jucurutu,05,240610605,Jucurutu
24,Rio Grande do Norte,2401,Natal,240001,Natal,06155,2406155,Jundiá,05,240615505,Jundiá
24,Rio Grande do Norte,2401,Natal,240002,Santo Antônio - Passa e Fica - Nova Cruz,06205,2406205,Lagoa d'Anta,05,240620505,Lagoa d'Anta
24,Rio Grande do Norte,2401,Natal,240002,Santo Antônio - Passa e Fica - Nova Cruz,06304,2406304,Lagoa de Pedras,05,240630405,Lagoa de Pedras
24,Rio Grande do Norte,2401,Natal,240006,São Paulo do Potengi,06403,2406403,Lagoa de Velhos,05,240640305,Lagoa de Velhos
24,Rio Grande do Norte,2402,Caicó,240008,Currais Novos,06502,2406502,Lagoa Nova,05,240650205,Lagoa Nova
24,Rio Grande do Norte,2401,Natal,240001,Natal,06601,2406601,Lagoa Salgada,05,240660105,Lagoa Salgada
24,Rio Grande do Norte,2403,Mossoró,240011,Açu,06700,2406700,Lajes,05,240670005,Lajes
24,Rio Grande do Norte,2403,Mossoró,240011,Açu,06700,2406700,Lajes,10,240670010,Firmamento
24,Rio Grande do Norte,2401,Natal,240004,Santa Cruz,06809,2406809,Lajes Pintadas,05,240680905,Lajes Pintadas
24,Rio Grande do Norte,2403,Mossoró,240010,Pau dos Ferros,06908,2406908,Lucrécia,05,240690805,Lucrécia
24,Rio Grande do Norte,2403,Mossoró,240010,Pau dos Ferros,07005,2407005,Luís Gomes,05,240700505,Luís Gomes
24,Rio Grande do Norte,2403,Mossoró,240010,Pau dos Ferros,07005,2407005,Luís Gomes,15,240700515,São Bernardo
24,Rio Grande do Norte,2401,Natal,240001,Natal,07104,2407104,Macaíba,05,240710405,Macaíba
24,Rio Grande do Norte,2401,Natal,240001,Natal,07104,2407104,Macaíba,10,240710410,Cana Brava
24,Rio Grande do Norte,2401,Natal,240001,Natal,07104,2407104,Macaíba,15,240710415,Traíras
24,Rio Grande do Norte,2401,Natal,240001,Natal,07104,2407104,Macaíba,20,240710420,Mangabeira
24,Rio Grande do Norte,2401,Natal,240001,Natal,07104,2407104,Macaíba,25,240710425,Cajazeiras
24,Rio Grande do Norte,2403,Mossoró,240011,Açu,07203,2407203,Macau,05,240720305,Macau
24,Rio Grande do Norte,2403,Mossoró,240010,Pau dos Ferros,07252,2407252,Major Sales,05,240725205,Major Sales
24,Rio Grande do Norte,2403,Mossoró,240010,Pau dos Ferros,07302,2407302,Marcelino Vieira,05,240730205,Marcelino Vieira
24,Rio Grande do Norte,2403,Mossoró,240010,Pau dos Ferros,07401,2407401,Martins,05,240740105,Martins
24,Rio Grande do Norte,2403,Mossoró,240010,Pau dos Ferros,07401,2407401,Martins,10,240740110,Salva Vida
24,Rio Grande do Norte,2401,Natal,240001,Natal,07500,2407500,Maxaranguape,05,240750005,Maxaranguape
