Distrito,Total,Até 1/2,Mais de 1/2 a 1,Mais de 1 a 2,Mais de 2 a 5,Mais de 5 a 10,Mais de 10 a 20,Mais de 20,Sem rendimento,Código da Unidade Geográfica
Total,2675748,288918,717278,323928,175559,60684,22246,7715,1078875,24
Acari,9537,1024,3101,1001,478,115,31,7,3779,2400109
Açu,44769,5554,13101,4715,2331,625,167,53,18208,2400208
Afonso Bezerra,8927,1789,2442,656,211,24,11,3,3791,2400307
Água Nova,2533,333,662,160,63,6,0,0,1309,2400406
Alexandria,11487,2191,3412,807,363,78,16,6,4614,2400505
Almino Afonso,4140,786,1134,363,143,24,7,1,1682,2400604
Alto do Rodrigues,10263,1184,2491,1545,760,152,26,5,4100,2400703
Angicos,9815,1344,2704,917,392,85,19,11,4343,2400802
Antônio Martins,5835,1407,1508,462,118,19,5,0,2316,2400901
Apodi,30054,5684,8544,2210,992,216,40,7,12361,2401008
Areia Branca,21514,2118,5343,2759,1575,376,55,8,9276,2401107
Arês,10669,1467,2717,860,398,86,12,4,5125,2401206
Augusto Severo,7798,1617,2194,519,220,46,9,8,3185,2401305
Baía Formosa,7025,936,1870,696,289,51,6,6,3171,2401404
Baraúna,19527,2747,6280,1384,453,80,12,3,8568,2401453
Barcelona,3364,704,938,315,94,14,2,2,1295,2401503
Bento Fernandes,4241,728,1183,266,101,14,2,2,1945,2401602
Belo Horizonte,320,69,94,15,5,0,0,0,137,240160210
Bodó,1999,324,472,170,78,5,2,1,947,2401651
Bom Jesus,7795,1289,2268,594,235,45,12,4,3348,2401701
Brejinho,9554,1624,3100,743,288,67,8,4,3720,2401800
Caiçara do Norte,4883,1215,1146,396,131,38,4,2,1951,2401859
Caiçara do Rio do Vento,2806,358,790,228,72,7,2,1,1348,2401909
Caicó,54228,5155,17353,7301,4209,1223,300,94,18588,2402006
Campo Redondo,8671,1449,2438,553,176,20,10,3,4022,2402105
Canguaretama,25008,3281,5797,2470,843,168,36,9,12404,2402204
Caraúbas,16643,2954,4828,1333,609,125,27,4,6763,2402303
São Geraldo,2489,605,702,158,37,3,1,0,983,240230310
Carnaúba dos Dantas,6310,881,2109,996,308,47,9,5,1955,2402402
Carnaubais,8133,1345,2181,672,271,52,6,3,3603,2402501
Ceará0Mirim,55878,5742,16184,5395,2271,487,90,26,25683,2402600
Cerro Corá,9086,1992,2364,759,307,47,11,5,3600,2402709
Coronel Ezequiel,4520,927,1232,323,93,14,1,2,1928,2402808
Coronel João Pessoa,3929,763,1081,265,70,10,3,0,1737,2402907
Cruzeta,6912,1222,2314,823,302,56,5,3,2187,2403004
Currais Novos,36741,4435,10681,4142,2276,572,171,55,14408,2403103
Doutor Severiano,5460,831,1360,396,158,18,4,0,2690,2403202
Encanto,4400,881,1366,341,144,15,4,2,1647,2403301
Equador,4828,883,1465,374,121,12,9,3,1961,2403400
Espírito Santo,8657,1467,2252,665,215,32,5,4,4017,2403509
Extremoz,20153,1416,5725,2321,1117,285,62,16,9207,2403608
Felipe Guerra,4965,765,1514,390,198,31,3,3,2061,2403707
Fernando Pedroza,2435,308,671,161,74,18,1,0,1202,2403756
Florânia,7697,1318,2377,631,289,64,17,4,2997,2403806
Francisco Dantas,2470,514,773,199,75,8,5,1,895,2403905
Frutuoso Gomes,3608,619,1064,282,92,17,3,1,1530,2404002
Galinhos,1756,231,458,157,67,14,3,3,823,2404101
Goianinha,18312,1538,4907,1937,769,151,30,11,8969,2404200
Governador Dix0Sept Rosado,10501,1599,2742,922,346,57,10,1,4824,2404309
Grossos,8036,1208,1812,1186,410,64,10,5,3341,2404408
Guamaré,10094,834,2448,1391,627,142,27,7,4618,2404507
Ielmo Marinho,9913,1887,2763,512,120,20,7,4,4600,2404606
Ipanguaçu,11261,1658,3466,884,314,66,9,1,4863,2404705
Ipueira,1770,252,598,274,107,8,2,2,527,2404804
Itajá,5689,886,1819,599,175,34,4,2,2170,2404853
Itaú,4760,847,1396,413,160,30,7,0,1907,2404903
Jaçanã,6657,1568,1871,482,159,29,4,1,2543,2405009
Jandaíra,5524,817,1519,422,134,13,2,3,2614,2405108
Janduís,4468,852,1376,336,142,26,3,1,1732,2405207
Januário Cicco,7382,1515,1855,326,161,20,3,1,3501,2405306
Córrego de São Mateus,1830,303,495,84,34,5,1,0,908,240530610
Japi,4543,967,1108,248,103,13,3,1,2100,2405405
Jardim de Angicos,2167,369,594,137,52,6,2,1,1006,2405504
Jardim de Piranhas,11480,1563,4163,934,295,54,12,3,4451,2405603
Jardim do Seridó,10772,1603,3910,1191,523,113,20,12,3400,2405702
João Câmara,26385,4087,7602,2223,889,167,38,12,11365,2405801
João Dias,2159,301,427,101,29,3,0,2,1296,2405900
Rosário,612,45,36,11,2,0,0,2,516,240590010
José da Penha,5021,1115,1603,438,171,25,4,1,1664,2406007
Major Felipe,1082,267,349,62,19,1,1,0,383,240600710
Jucurutu,15175,3018,4956,1224,380,75,15,4,5502,2406106
Jundiá,2971,529,938,236,66,6,1,1,1194,2406155
Lagoa d'Anta,5116,1153,1275,410,166,19,6,3,2084,2406205
Lagoa de Pedras,5687,1340,1454,388,107,18,3,0,2376,2406304
Lagoa de Velhos,2209,364,641,213,61,7,1,0,922,2406403
Lagoa Nova,11530,2018,2821,719,252,47,6,2,5665,2406502
Lagoa Salgada,6155,1115,1644,421,111,20,6,2,2836,2406601
Lajes,8781,1419,2604,636,286,54,16,2,3764,2406700
Firmamento,924,200,241,51,11,3,0,0,418,240670010
Lajes Pintadas,3923,671,1171,255,109,12,8,0,1697,2406809
Lucrécia,3061,621,897,231,109,29,4,4,1166,2406908
Luís Gomes,7924,1637,2149,424,196,37,12,4,3465,2407005
São Bernardo,1831,450,429,46,15,0,0,0,891,240700515
Macaíba,57769,6108,17847,6212,2260,437,99,19,24787,2407104
Macau,24551,2188,6407,3419,1859,391,82,10,10195,2407203
Major Sales,2929,812,933,190,77,10,4,0,903,2407252
Marcelino Vieira,6908,1399,1916,441,204,25,8,2,2913,2407302
Martins,6939,1040,1994,472,237,35,19,4,3138,2407401
Salva Vida,706,81,170,28,5,0,0,0,422,240740110
Maxaranguape,8365,1154,2473,761,216,55,18,6,3682,2407500
Messias Targino,3482,850,1106,384,135,27,4,2,974,2407609
Montanhas,9361,1598,2635,578,233,39,4,1,4273,2407708
Monte Alegre,17075,2173,4789,1219,473,105,11,7,8298,2407807
Monte das Gameleiras,1901,365,527,157,67,12,3,0,770,2407906
Mossoró,220548,12794,58702,35329,19572,5947,1861,508,85795,2408003
Natal,695027,32863,165649,115979,73350,32817,14692,5692,253853,2408102
R.A. Leste,103188,2942,21665,15653,13065,7791,4609,2238,35152,24081020508
R.A. Norte,255992,16022,69371,46825,19705,3504,492,98,99965,24081020506
R.A. Oeste,184780,11803,52550,31662,13300,2989,647,241,71559,24081020509
R.A. Sul,151067,2096,22063,21839,27280,18533,8944,3115,47177,24081020507
Nísia Floresta,19547,2242,5590,1618,709,179,46,15,8872,2408201
Nova Cruz,29520,4904,8027,2359,1045,180,37,17,12950,2408300
Olho d'Água do Borges,3715,571,1160,241,92,8,8,0,1635,2408409
Ouro Branco,4054,620,1398,400,163,23,5,1,1444,2408508
Paraná,3297,611,813,186,67,5,1,0,1614,2408607
Paraú,3250,543,970,352,117,13,4,3,1248,2408706
Parazinho,3869,643,1050,283,88,7,5,0,1793,2408805
Parelhas,17274,2424,5979,1793,804,157,42,11,6064,2408904
Parnamirim,172057,7574,37148,27655,22083,9519,2986,659,64393,2403251
Passa e Fica,9407,1897,2792,725,200,36,7,4,3746,2409100
Passagem,2440,401,769,203,67,6,0,0,994,2409209
Patu,10060,1655,2936,770,359,80,14,8,4238,2409308
Pau dos Ferros,23678,2364,7629,2585,1603,460,128,39,8869,2409407
Pedra Grande,2888,522,665,189,82,13,1,0,1416,2409506
Pedra Preta,2161,390,550,129,45,9,1,1,1036,2409605
Pedro Avelino,5973,937,1666,497,210,46,12,2,2603,2409704
Pedro Velho,11562,1678,3144,831,317,67,8,5,5512,2409803
Pendências,11303,1144,3042,1255,531,85,12,7,5227,2409902
Pilões,2936,553,870,218,103,14,3,0,1175,2410009
Poço Branco,11369,1743,3131,838,255,54,10,9,5329,2410108
Portalegre,6178,1317,1753,462,214,38,11,2,2380,2410207
Porto do Mangue,4270,1070,923,360,126,20,4,2,1765,2410256
Presidente Juscelino,6969,1325,1767,410,168,22,8,3,3266,2410306
Pureza,6781,1141,1809,310,107,17,0,0,3397,2410405
Rafael Fernandes,3948,722,1329,330,143,19,3,1,1401,2410504
Rafael Godeiro,2571,582,816,213,83,9,1,1,866,2410603
Riacho da Cruz,2606,574,766,173,70,9,1,1,1012,2410702
Riacho de Santana,3475,635,1049,238,101,6,2,0,1444,2410801
Riachuelo,5835,1016,1545,432,196,16,4,4,2622,2410900
Rio do Fogo,7989,1817,1976,539,204,44,5,7,3397,2408953
Rodolfo Fernandes,3714,785,1045,299,103,19,1,1,1461,2411007
Ruy Barbosa,3019,578,824,224,85,9,2,1,1296,2411106
Santa Cruz,30025,4308,8436,2318,1311,358,64,15,13215,2411205
Santa Maria,3873,499,1207,271,71,21,0,1,1803,2409332
Santana do Matos,11873,2175,3384,598,230,46,9,5,5426,2411403
Barão de Serra Branca,2093,443,469,71,17,2,0,0,1091,241140310
Santa Teresa,1240,163,358,35,7,0,0,0,677,241140320
São José da Passagem,979,233,263,33,12,0,0,0,438,241140325
Santana do Seridó,2155,405,729,251,110,10,1,0,649,2411429
Santo Antônio,18524,3316,5404,1351,549,123,23,14,7744,2411502
São Bento do Norte,2434,340,693,152,52,9,4,0,1184,2411601
São Bento do Trairí,3187,425,797,225,69,10,1,1,1659,2411700
São Fernando,2955,329,1042,197,111,18,5,1,1252,2411809
São Francisco do Oeste,3317,500,1177,289,99,15,1,0,1236,2411908
São Gonçalo do Amarante,72855,4871,21203,10988,3806,545,90,20,31331,2412005
